,B-SOiD labels,Start time (frames),Run lengths
709,10,1805,8
710,1,1813,1
711,9,1814,2
712,5,1816,2
713,9,1818,1
714,11,1819,3
715,10,1822,1
716,9,1823,1
717,5,1824,1
718,9,1825,2
719,8,1827,1
720,11,1828,1
721,2,1829,1
722,7,1830,1
723,2,1831,5
724,9,1836,9
725,8,1845,2
726,6,1847,1
727,0,1848,2
728,1,1850,4
729,10,1854,2
730,1,1856,1
731,2,1857,1
732,10,1858,1
733,2,1859,2
734,6,1861,1
735,0,1862,1
736,11,1863,2
737,10,1865,1
738,2,1866,1
739,11,1867,6
740,1,1873,1
741,9,1874,5
742,10,1879,2
743,7,1881,1
744,2,1882,1
745,10,1883,1
746,2,1884,1
747,11,1885,2
748,2,1887,4
749,7,1891,7
750,2,1898,1
751,10,1899,1
752,11,1900,12
753,9,1912,1
754,5,1913,1
755,0,1914,1
756,11,1915,2
757,8,1917,1
758,11,1918,6
759,2,1924,2
760,0,1926,1
761,11,1927,1
762,1,1928,3
763,11,1931,1
764,1,1932,2
765,5,1934,6
766,1,1940,1
767,6,1941,1
768,10,1942,5
769,9,1947,4
770,10,1951,1
771,11,1952,6
772,2,1958,1
773,6,1959,1
774,11,1960,1
775,6,1961,1
776,11,1962,7
777,7,1969,1
778,0,1970,1
779,11,1971,2
780,1,1973,1
781,7,1974,2
782,2,1976,2
783,7,1978,2
784,1,1980,1
785,11,1981,4
786,8,1985,1
787,11,1986,1
788,5,1987,1
789,1,1988,1
790,2,1989,1
791,11,1990,2
792,0,1992,2
793,1,1994,1
794,11,1995,3
795,5,1998,4
796,0,2002,1
797,9,2003,1
798,10,2004,1
799,12,2005,1
800,11,2006,5
801,10,2011,1
802,11,2012,2
803,9,2014,1
804,10,2015,1
805,5,2016,1
806,9,2017,1
807,5,2018,2
808,11,2020,12
809,0,2032,1
810,9,2033,1
811,8,2034,2
812,9,2036,3
813,0,2039,1
814,9,2040,1
815,0,2041,1
816,9,2042,1
817,7,2043,3
818,9,2046,3
819,11,2049,14
820,0,2063,3
821,5,2066,3
822,10,2069,1
823,2,2070,1
824,9,2071,5
825,2,2076,2
826,10,2078,2
827,11,2080,1
828,9,2081,5
829,11,2086,11
830,9,2097,3
831,2,2100,7
832,9,2107,10
833,8,2117,1
834,11,2118,2
835,8,2120,2
836,5,2122,2
837,0,2124,1
838,11,2125,2
839,2,2127,1
840,11,2128,3
841,1,2131,1
842,7,2132,1
843,2,2133,5
844,10,2138,3
845,11,2141,1
846,14,2142,1
847,9,2143,3
848,5,2146,2
849,11,2148,1
850,5,2149,1
851,11,2150,2
852,5,2152,1
853,11,2153,2
854,5,2155,2
855,9,2157,17
856,5,2174,2
857,9,2176,2
858,5,2178,1
859,10,2179,2
860,9,2181,10
861,2,2191,3
862,6,2194,2
863,9,2196,8
864,11,2204,6
865,8,2210,3
866,11,2213,1
867,8,2214,1
868,11,2215,2
869,10,2217,3
870,0,2220,1
871,11,2221,10
872,8,2231,1
873,0,2232,1
874,5,2233,1
875,1,2234,1
876,11,2235,1
877,2,2236,2
878,7,2238,1
879,9,2239,2
880,10,2241,3
881,0,2244,1
882,9,2245,2
883,10,2247,1
884,11,2248,2
885,0,2250,2
886,1,2252,1
887,7,2253,4
888,2,2257,1
889,9,2258,1
890,2,2259,4
891,9,2263,1
892,2,2264,4
