,B-SOiD labels,Start time (frames),Run lengths
778,7,1936,3
779,9,1939,1
780,1,1940,1
781,9,1941,1
782,1,1942,2
783,9,1944,6
784,14,1950,1
785,9,1951,1
786,10,1952,3
787,2,1955,2
788,1,1957,1
789,2,1958,2
790,7,1960,1
791,2,1961,4
792,7,1965,1
793,10,1966,2
794,7,1968,1
795,1,1969,1
796,11,1970,15
797,6,1985,1
798,0,1986,3
799,11,1989,1
800,1,1990,7
801,7,1997,4
802,2,2001,1
803,10,2002,1
804,1,2003,1
805,2,2004,1
806,11,2005,2
807,5,2007,7
808,1,2014,3
809,10,2017,1
810,1,2018,1
811,10,2019,8
812,1,2027,6
813,5,2033,2
814,8,2035,2
815,5,2037,3
816,0,2040,1
817,3,2041,1
818,9,2042,2
819,10,2044,1
820,1,2045,2
821,10,2047,1
822,9,2048,4
823,11,2052,7
824,7,2059,1
825,1,2060,1
826,2,2061,2
827,9,2063,5
828,2,2068,3
829,9,2071,5
830,2,2076,3
831,11,2079,7
832,0,2086,1
833,2,2087,1
834,1,2088,2
835,9,2090,1
836,0,2091,1
837,1,2092,4
838,0,2096,1
839,10,2097,2
840,7,2099,3
841,2,2102,4
842,10,2106,2
843,1,2108,1
844,2,2109,1
845,11,2110,1
846,10,2111,1
847,2,2112,1
848,11,2113,3
849,5,2116,5
850,1,2121,1
851,5,2122,4
852,8,2126,1
853,5,2127,3
854,1,2130,2
855,0,2132,1
856,7,2133,1
857,1,2134,3
858,5,2137,4
859,1,2141,2
860,7,2143,4
861,0,2147,2
862,6,2149,1
863,11,2150,1
864,5,2151,3
865,8,2154,1
866,1,2155,1
867,7,2156,1
868,1,2157,5
869,5,2162,1
870,1,2163,3
871,7,2166,1
872,10,2167,1
873,7,2168,3
874,2,2171,2
875,7,2173,1
876,2,2174,1
877,9,2175,2
878,1,2177,1
879,2,2178,2
880,9,2180,7
881,5,2187,1
882,0,2188,1
883,9,2189,4
884,1,2193,2
885,6,2195,1
886,0,2196,1
887,9,2197,1
888,0,2198,1
889,11,2199,2
890,10,2201,1
891,9,2202,3
892,2,2205,2
893,9,2207,7
894,1,2214,1
895,0,2215,1
896,5,2216,1
897,9,2217,1
898,8,2218,1
899,11,2219,3
900,8,2222,1
901,7,2223,1
902,10,2224,1
903,1,2225,3
904,5,2228,3
905,1,2231,4
906,5,2235,1
907,1,2236,5
908,10,2241,1
909,5,2242,1
910,9,2243,1
911,7,2244,1
912,0,2245,2
913,10,2247,1
914,0,2248,1
915,10,2249,2
916,5,2251,2
917,9,2253,6
918,5,2259,2
919,1,2261,1
920,0,2262,1
921,5,2263,1
922,9,2264,1
923,11,2265,3
924,0,2268,1
925,9,2269,8
926,1,2277,1
927,2,2278,1
928,10,2279,1
929,7,2280,1
930,2,2281,2
931,10,2283,1
932,1,2284,1
933,5,2285,2
934,1,2287,2
935,10,2289,1
936,1,2290,1
937,9,2291,2
938,1,2293,1
939,10,2294,1
940,5,2295,2
941,8,2297,1
942,11,2298,18
943,5,2316,1
944,11,2317,2
945,0,2319,1
946,9,2320,2
947,5,2322,10
948,1,2332,2
949,5,2334,4
950,1,2338,1
951,9,2339,2
952,10,2341,1
953,2,2342,1
954,9,2343,4
955,0,2347,1
956,2,2348,1
957,7,2349,1
958,2,2350,3
959,10,2353,1
960,1,2354,1
961,9,2355,1
962,1,2356,2
963,7,2358,1
964,9,2359,5
965,8,2364,1
966,11,2365,10
967,1,2375,1
968,10,2376,1
969,7,2377,1
970,10,2378,1
971,11,2379,3
972,8,2382,1
973,11,2383,2
974,8,2385,1
975,11,2386,2
976,0,2388,1
977,9,2389,3
978,11,2392,1
979,8,2393,1
980,0,2394,1
981,9,2395,1
982,0,2396,1
983,11,2397,1
984,5,2398,3
985,6,2401,1
986,9,2402,1
987,5,2403,2
988,11,2405,3
989,0,2408,1
990,9,2409,2
991,5,2411,1
992,1,2412,3
993,10,2415,1
994,2,2416,6
995,9,2422,2
996,2,2424,3
997,1,2427,1
998,7,2428,1
999,2,2429,1
1000,9,2430,2
1001,2,2432,1
1002,7,2433,2
1003,2,2435,5
1004,11,2440,2
1005,5,2442,1
1006,1,2443,1
1007,5,2444,1
1008,1,2445,1
1009,7,2446,1
1010,2,2447,1
1011,11,2448,11
1012,6,2459,1
1013,2,2460,2
1014,10,2462,3
1015,0,2465,1
1016,1,2466,2
1017,8,2468,2
1018,11,2470,1
1019,8,2471,1
1020,5,2472,2
1021,8,2474,1
1022,11,2475,2
1023,12,2477,1
1024,2,2478,1
1025,11,2479,3
1026,1,2482,1
1027,7,2483,3
1028,2,2486,2
1029,6,2488,1
1030,2,2489,1
1031,7,2490,1
1032,1,2491,2
1033,6,2493,1
1034,0,2494,1
1035,11,2495,9
1036,8,2504,1
1037,5,2505,1
1038,9,2506,7
1039,1,2513,1
1040,9,2514,10
1041,5,2524,1
1042,0,2525,1
1043,8,2526,1
1044,0,2527,1
1045,11,2528,1
1046,8,2529,2
1047,1,2531,1
1048,0,2532,1
1049,8,2533,1
1050,5,2534,3
1051,1,2537,4
1052,2,2541,2
1053,9,2543,3
1054,5,2546,3
1055,8,2549,1
1056,1,2550,1
1057,5,2551,5
1058,8,2556,4
1059,1,2560,1
1060,5,2561,1
1061,8,2562,2
1062,1,2564,2
1063,0,2566,1
1064,2,2567,5
1065,9,2572,1
1066,0,2573,1
1067,9,2574,2
1068,5,2576,2
1069,1,2578,2
1070,5,2580,1
1071,1,2581,1
1072,6,2582,4
1073,2,2586,1
1074,7,2587,2
1075,10,2589,2
1076,7,2591,3
1077,2,2594,4
1078,7,2598,1
1079,2,2599,1
1080,7,2600,3
1081,2,2603,8
1082,10,2611,1
1083,9,2612,3
1084,1,2615,2
1085,9,2617,2
1086,1,2619,4
1087,9,2623,13
1088,0,2636,1
1089,1,2637,2
1090,8,2639,1
1091,9,2640,2
1092,1,2642,1
1093,9,2643,3
1094,2,2646,15
1095,6,2661,2
1096,2,2663,2
1097,9,2665,1
1098,2,2666,2
1099,7,2668,1
1100,2,2669,4
1101,7,2673,1
1102,1,2674,2
1103,0,2676,1
1104,10,2677,4
1105,5,2681,1
1106,9,2682,1
1107,0,2683,2
1108,1,2685,3
1109,7,2688,1
1110,2,2689,2
1111,10,2691,1
1112,2,2692,3
1113,1,2695,1
1114,5,2696,2
1115,11,2698,2
1116,5,2700,1
1117,11,2701,2
1118,7,2703,2
1119,10,2705,2
1120,7,2707,2
1121,1,2709,2
1122,11,2711,1
1123,0,2712,1
1124,1,2713,5
1125,9,2718,1
1126,7,2719,3
1127,1,2722,1
1128,10,2723,2
1129,7,2725,1
1130,10,2726,1
1131,1,2727,2
1132,5,2729,6
1133,8,2735,1
1134,5,2736,2
1135,11,2738,1
1136,5,2739,1
1137,1,2740,1
1138,11,2741,6
1139,1,2747,2
1140,5,2749,1
1141,1,2750,1
1142,5,2751,1
1143,9,2752,3
1144,1,2755,7
1145,2,2762,1
1146,11,2763,1
1147,12,2764,1
1148,6,2765,1
1149,10,2766,6
1150,9,2772,4
1151,0,2776,1
1152,2,2777,2
1153,11,2779,1
1154,10,2780,1
1155,2,2781,1
1156,11,2782,9
1157,1,2791,1
1158,5,2792,2
1159,11,2794,1
1160,5,2795,1
1161,8,2796,1
1162,1,2797,5
1163,7,2802,2
1164,1,2804,4
1165,6,2808,3
1166,9,2811,7
1167,11,2818,13
1168,1,2831,6
1169,10,2837,3
1170,1,2840,2
1171,9,2842,1
1172,5,2843,1
1173,1,2844,5
1174,7,2849,2
1175,10,2851,1
1176,7,2852,1
1177,10,2853,1
1178,7,2854,2
1179,10,2856,1
1180,7,2857,2
1181,11,2859,1
1182,0,2860,1
1183,1,2861,2
1184,10,2863,1
1185,2,2864,6
1186,9,2870,1
1187,2,2871,4
1188,1,2875,1
1189,7,2876,1
1190,10,2877,2
1191,2,2879,4
1192,11,2883,18
1193,0,2901,1
1194,9,2902,4
1195,2,2906,4
1196,7,2910,2
1197,1,2912,3
1198,2,2915,1
1199,7,2916,5
1200,2,2921,1
1201,9,2922,2
1202,7,2924,2
1203,2,2926,1
1204,1,2927,2
1205,5,2929,4
1206,1,2933,1
1207,0,2934,1
1208,7,2935,1
1209,1,2936,1
1210,5,2937,1
1211,1,2938,2
1212,5,2940,2
1213,11,2942,1
1214,1,2943,4
1215,10,2947,12
1216,2,2959,5
1217,11,2964,1
1218,0,2965,1
1219,2,2966,4
1220,11,2970,2
1221,1,2972,5
1222,11,2977,14
1223,8,2991,2
1224,1,2993,2
1225,9,2995,3
1226,1,2998,2
1227,11,3000,1
1228,1,3001,1
1229,7,3002,2
1230,11,3004,1
1231,2,3005,1
1232,6,3006,1
1233,11,3007,3
1234,1,3010,1
1235,6,3011,1
1236,2,3012,3
1237,1,3015,2
1238,11,3017,1
1239,1,3018,5
1240,5,3023,1
1241,1,3024,9
1242,2,3033,3
1243,7,3036,1
1244,2,3037,2
1245,11,3039,2
1246,8,3041,1
1247,5,3042,2
1248,8,3044,1
1249,5,3045,1
1250,1,3046,1
1251,5,3047,3
1252,8,3050,1
1253,5,3051,2
1254,9,3053,3
1255,1,3056,1
1256,5,3057,2
1257,1,3059,9
1258,10,3068,5
1259,5,3073,1
1260,1,3074,2
1261,10,3076,1
1262,1,3077,2
1263,9,3079,2
1264,1,3081,1
1265,7,3082,4
1266,2,3086,3
1267,10,3089,1
1268,2,3090,9
1269,10,3099,1
1270,11,3100,7
1271,10,3107,1
1272,7,3108,2
1273,10,3110,1
1274,2,3111,2
1275,9,3113,3
1276,1,3116,1
1277,5,3117,1
1278,1,3118,1
1279,11,3119,1
1280,8,3120,1
1281,0,3121,1
1282,1,3122,1
1283,7,3123,1
